"CODIGO","DESCRICAO"
"001","ABU DABI"
"002","ACORES"
"003","AFEGANISTAO"
"004","AFRICA DO SUL"
"005","AIMAN"
"006","ALBANIA"
"008","ALEMANHA"
"009","ANDORRA"
"010","ANGOLA"
"011","ANTILHAS HOLANDESAS"
"012","ANGUILLA"
"013","ANTIGUA"
"014","ARABIA SAUDITA"
"015","ARGELIA"
"016","ARGENTINA"
"017","ARMENIA"
"018","ARUBA"
"019","AUSTRALIA"
"020","AUSTRIA"
"021","AZERBAIDJAO"
"022","BAHAMAS"
"023","BAHREIN, ILHA"
"024","BALEARES, ILHAS"
"025","BANGLADESH"
"026","BARBADOS"
"027","BELGICA"
"028","BELIZE"
"029","BENIN"
"030","BERMUDAS"
"031","BIELORRUSSIA"
"032","BIRMANIA"
"033","BOLIVIA"
"034","BONAIRE"
"035","BOTSWANA"
"036","BRUNEI"
"037","BULGARIA"
"038","BURUNDI"
"039","BURKINA FASSO(ALTO VOLTA)"
"040","BUTAO"
"041","CABO VERDE"
"042","CAICOS, ILHA"
"043","CAMEROON"
"044","CAMBOJA"
"044","LAOS"
"045","CANADA"
"046","CANARIAS"
"047","CAROLINAS, ILHAS"
"048","CASAQUISTAO"
"049","CAYMAN, ILHAS"
"050","CEUTA E MELILLA"
"051","CHADE"
"052","CHILE"
"053","CHINA"
"054","CHIPRE"
"055","CHRISTMAS, ILHA"
"056","CINGAPURA"
"057","COCOS, ILHAS"
"058","COLOMBIA"
"059","COMORES, ILHAS"
"060","CONGO"
"061","COOK, ILHAS"
"062","COREIA DO NORTE"
"063","COREIA DO SUL"
"064","COSTA DO MARFIM"
"065","COSTA RICA"
"066","CUBA"
"067","CURACAO"
"068","DINAMARCA"
"069","DJIBUTI"
"070","DOMINICA"
"071","DUBAI"
"072","EGITO"
"073","EIRE"
"073","IRLANDA"
"074","EL SALVADOR"
"075","EQUADOR"
"076","ESCOCIA"
"077","ESPANHA"
"078","ESTADOS UNIDOS"
"079","ESTONIA"
"080","ETIOPIA"
"081","FALKLAND, ILHAS"
"081","MALVINAS, ILHAS"
"082","FAROE, ILHAS"
"083","FIJI"
"084","FILIPINAS"
"085","FINLANDIA"
"086","FORMOSA"
"087","FRANCA"
"088","FUJAIRA"
"089","FUTUNA, ILHAS"
"090","GABAO"
"091","GALAPAGOS, ILHAS"
"092","GALES, (PAIS DE)"
"093","GAMBIA"
"094","GANA"
"095","GEORGIA"
"096","GIBRALTAR"
"097","GRA-BRETANHA"
"098","GRANADA"
"099","GRECIA"
"100","GROENLANDIA"
"101","GUADALUPE"
"102","GUAM"
"103","GUATEMALA"
"104","GUIANA FRANCESA"
"105","GUYANA"
"106","GUINE"
"107","GUINE-BISSAU"
"108","GUINE-EQUATORIAL"
"109","HAITI"
"110","HOLANDA"
"111","HONDURAS"
"112","HONDURAS BRITANICAS"
"113","HONG KONG"
"114","HUNGRIA"
"115","IEMEN"
"116","IEMEN DO SUL"
"117","INDIA"
"118","INDONESIA"
"119","INGLATERRA"
"120","IRA"
"121","IRAQUE"
"122","IRLANDA DO NORTE"
"123","ISLANDIA"
"124","ISRAEL"
"125","ITALIA"
"126","JAMAICA"
"127","JAPAO"
"128","JOHNSTON, ILHA"
"129","JORDANIA"
"130","JUAN FERNANDES, ILHAS"
"131","KIRIBATI"
"132","KUWEIT"
"133","LESOTO"
"134","LETONIA"
"135","LIBANO"
"136","LIBERIA"
"137","LIBIA"
"138","LIECHTENSTEIN"
"139","LITUANIA"
"140","LUXEMBURGO"
"141","MACAU"
"142","MADAGASCAR"
"143","MADEIRA"
"144","MALAISIA"
"145","MALAWI"
"146","MALDIVAS"
"147","MALI"
"148","MALTA"
"149","MAN, ILHA DE"
"150","MARIANAS, ILHAS"
"151","MARQUESAS, ILHAS"
"152","MARROCOS"
"153","MARSHAL, ILHAS"
"154","MARTINICA"
"155","MAYOTTE"
"156","MAURICIUS"
"157","MAURITANIA"
"158","MELILLA"
"159","MEXICO"
"160","MIDWAY, ILHAS"
"161","MOCAMBIQUE"
"162","MOLDAVIA"
"163","MONACO"
"164","MONGOLIA"
"165","MONTSERRAT"
"166","NAMIBIA"
"167","NASSAU"
"168","NAURU"
"169","NEPAL"
"170","NEVIS"
"171","NICARAGUA"
"172","NIGER"
"173","NIGERIA"
"174","NORFOLK, ILHA"
"175","NORUEGA"
"176","NOVA CALEDONIA"
"177","NOVA GUINE"
"178","NOVA ZELANDIA"
"179","NOVE, ILHAS"
"180","OMA"
"181","PANAMA"
"182","PAPUA NOVA GUINE"
"183","PAQUISTAO"
"184","PARAGUAI"
"185","PASCOA, ILHA"
"186","PERU"
"187","POLINESIA FRANCESA"
"188","POLONIA"
"189","PORTO RICO"
"190","PORTUGAL"
"191","PITCAIRN, ILHA"
"192","QATAR"
"193","QUENIA"
"194","QUIRGUIZIA"
"195","REINO UNIDO"
"196","REPUBLICA CENTRO-AFRICANA"
"197","REPUBLICA DOMINICANA"
"198","REUNIAO"
"199","ROMENIA"
"200","RUANDA"
"201","RUSSIA"
"202","SAARA OCIDENTAL"
"203","SABA, ILHA"
"204","SAO CRISTOVAO E NEVIS"
"205","SAINT MAARTEN, ILHAS"
"206","SAINT PIERRE E MIQUELON,I"
"207","SALOMAO, ILHAS"
"208","SAMOA AMERICANA, ILHAS"
"209","SAMOA ISISIFO (OCIDENTAL)"
"210","SAN MARINO"
"211","SANTA LUCIA, ILHA"
"212","SANTO EUSTAQUIO, ILHA"
"213","SAO TOME E PRINCIPE"
"214","SAO VICENTE E GRANADINAS"
"215","SENEGAL"
"216","SERRA LEOA"
"217","SEYCHELLES"
"218","SIRIA"
"219","SOCIEDADE, ILHAS"
"220","SOMALIA"
"221","SRI LANKA"
"222","SUAZILANDIA"
"223","SUDAO"
"224","SUECIA"
"225","SUISSA"
"226","SURINAME"
"227","TADJIQUISTAO"
"228","TAILANDIA"
"229","TANZANIA"
"230","TASMANIA"
"231","TCHAD"
"232","TCHECO E ESLOVAQUIA"
"233","TIMOR"
"234","TOGO"
"235","TOKELAU"
"236","TONGA"
"237","TUVALU"
"238","TRINIDAD AND TOBAGO"
"239","TUAMOTU"
"240","TUBUAI"
"241","TUNISIA"
"242","TURCOMENISTAO"
"243","TURKS, ILHA"
"244","TURQUIA"
"245","UCRANIA"
"246","UGANDA"
"247","UNIAO DOS EMIRADOS ARABES"
"248","UNIAO SOVIETICA"
"249","URUGUAI"
"250","UZBEQUISTAO"
"251","VANUATU"
"252","VATICANO"
"253","VENEZUELA"
"254","VIETNA"
"255","VIRGENS NORTE-AMERICANAS"
"256","VIRGENS BRITANICAS,ILHAS"
"257","WALLIS, ILHA"
"258","YUGOSLAVIA"
"259","ZAIRE"
"260","ZAMBIA"
"261","ZIMBABUE"
"262","ZONA DO CANAL DO PANAMA"
